"log_id","badge_uid","member_id","access_time","access_decision","denial_reason"
"1","012547","3","2025-10-22 16:02:01.938018+02","granted",NULL
"2","01225544","2","2025-10-22 16:02:16.36852+02","denied",NULL
"3","UNKNOWN","3","2025-10-22 20:22:56+02","denied","Inactive or missing badge"
"4","UNKNOWN","2","2025-10-22 20:23:02+02","denied","Inactive or missing badge"
"7","UNKNOWN","1","2025-10-22 20:23:26+02","denied","Inactive or missing badge"
"8","UNKNOWN","2","2025-10-22 20:23:30+02","denied","Inactive or missing badge"
"9","UNKNOWN","3","2025-10-22 20:23:35+02","denied","Inactive or missing badge"
"10","UNKNOWN","2","2025-10-22 20:24:11+02","denied","Inactive or missing badge"
"11","UNKNOWN","1","2025-10-22 20:24:18+02","denied","Inactive or missing badge"
"12","B-68F92FCC766BC","5","2025-10-22 20:26:18+02","granted",NULL
"13","B-68F92FCC766BC","5","2025-10-22 20:27:30+02","denied","No active subscription"
"14","B-68F92FCC766BC","5","2025-10-22 20:28:52+02","denied","Inactive or missing badge"
"15","B-68F92FCC766BC","5","2025-10-22 20:28:57+02","denied","Inactive or missing badge"
"16","B-68F92FCC766BC","5","2025-10-22 20:29:02+02","denied","Inactive or missing badge"
"17","B-68F92FCC766BC","5","2025-10-22 20:29:05+02","denied","Inactive or missing badge"
"18","B-68F92FCC766BC","5","2025-10-22 20:29:11+02","denied","No active subscription"
"19","B-68F92FCC766BC","5","2025-10-22 20:29:12+02","denied","No active subscription"
"20","UNKNOWN","3","2025-10-22 20:42:38+02","denied","Inactive or missing badge"
"21","UNKNOWN","3","2025-10-22 21:05:34+02","denied","Inactive or missing badge"
"22","UNKNOWN","1","2025-10-22 21:05:45+02","denied","Inactive or missing badge"
"23","B-68F93720ACF83","6","2025-10-22 21:05:48+02","granted",NULL
"24","B-68F93720ACF83","6","2025-10-22 21:05:55+02","granted",NULL
"25","B-68F93720ACF83","6","2025-10-22 21:14:09+02","granted",NULL
"27","B-68F93BBC8B4E9","7","2025-10-22 21:26:22+02","granted",NULL
"28","UNKNOWN","3","2025-10-22 21:31:30+02","denied","Inactive or missing badge"
"30","B-68F93720ACF83","6","2025-10-22 21:31:38+02","granted",NULL
"32","B-68F93720ACF83","6","2025-10-22 21:32:58+02","granted",NULL
"33","B-68F93BBC8B4E9","7","2025-10-22 21:33:04+02","granted",NULL
"34","B-68F92FCC766BC","5","2025-10-22 21:33:08+02","granted",NULL
"35","UNKNOWN","3","2025-10-22 21:33:13+02","denied","Inactive or missing badge"
"36","UNKNOWN","2","2025-10-22 21:33:15+02","denied","Inactive or missing badge"
"37","UNKNOWN","1","2025-10-22 21:33:18+02","denied","Inactive or missing badge"
"38","B-68F93720ACF83","6","2025-10-22 21:33:20+02","granted",NULL
"39","UNKNOWN","2","2025-10-23 01:09:36+02","denied","Inactive or missing badge"
"40","B-68F9651092F50","9","2025-10-23 01:09:49+02","granted",NULL
"41","UNKNOWN","3","2025-10-23 01:26:55+02","denied","Inactive or missing badge"
"42","B-68F94CC8AF409","8","2025-10-23 01:27:42+02","granted",NULL
"67","B-68F92FCC766BC","5","2025-10-23 11:37:39+02","granted",NULL
"69","B-68F92FCC766BC","5","2025-10-23 11:37:57+02","granted",NULL
"70","B-68F92FCC766BC","5","2025-10-23 11:39:51+02","granted",NULL
"71","B-68F96967BBEE1","12","2025-10-23 11:51:09+02","granted",NULL
"74","B-68F96B4B05AE3","13","2025-10-23 11:51:25+02","granted",NULL
"76","B-68F96B4B05AE3","13","2025-10-23 11:54:01+02","granted",NULL
"77","B-68F94CC8AF409","8","2025-10-23 11:54:13+02","granted",NULL
"80","B-68F92FCC766BC","5","2025-10-23 11:58:33+02","granted",NULL
"81","UNKNOWN","3","2025-10-23 11:58:36+02","denied","No badge assigned"
"82","UNKNOWN","2","2025-10-23 11:58:40+02","denied","No badge assigned"
"83","UNKNOWN","3","2025-10-23 11:59:12+02","denied","No badge assigned"
"84","B-68F96B4B05AE3","13","2025-10-23 12:13:16+02","granted",NULL
"85","B-68F96B4B05AE3","13","2025-10-23 12:13:46+02","granted",NULL
"86","B-68F96B4B05AE3","13","2025-10-23 12:13:53+02","granted",NULL
"87","B-68F96B4B05AE3","13","2025-10-23 12:13:57+02","granted",NULL
"88","B-68F96B4B05AE3","13","2025-10-23 12:14:00+02","granted",NULL
"89","B-68F9651092F50","9","2025-10-23 12:14:03+02","granted",NULL
"90","B-68F9651092F50","9","2025-10-23 12:16:18+02","granted",NULL
"91","B-68F93BBC8B4E9","7","2025-10-23 12:18:28+02","granted",NULL
"92","B-68F96967BBEE1","12","2025-10-23 12:19:32+02","granted",NULL
"93","B-68F96B4B05AE3","13","2025-10-23 12:20:04+02","granted",NULL
"94","B-68F9651092F50","9","2025-10-23 12:29:53+02","granted",NULL
"95","B-68F93720ACF83","6","2025-10-23 12:30:02+02","granted",NULL
"96","UNKNOWN","2","2025-10-23 12:30:05+02","denied","No badge assigned"
"97","B-68F96B4B05AE3","13","2025-10-23 12:31:25+02","granted",NULL
"98","B-68F9651092F50","9","2025-10-23 12:31:28+02","granted",NULL
"99","B-68F93720ACF83","6","2025-10-23 12:31:31+02","granted",NULL
"100","UNKNOWN","2","2025-10-23 12:31:37+02","denied","No badge assigned"
"101","B-68F96967BBEE1","12","2025-10-23 12:36:29+02","granted",NULL
"102","B-68F94CC8AF409","8","2025-10-23 12:36:35+02","granted",NULL
"103","UNKNOWN","3","2025-10-23 12:36:54+02","denied","No badge assigned"
"104","UNKNOWN","3","2025-10-23 12:36:58+02","denied","No badge assigned"
"105","UNKNOWN","3","2025-10-23 12:40:24+02","denied","No badge assigned"
"106","B-68F96967BBEE1","12","2025-10-23 12:41:10+02","granted",NULL
